"","id","Sexo","AEO01","AEO02","AEO03","AEO04","AEO05","AEO06","ACSF01","ACSF02","ACSF03","ACSF04","ACSF05","ACSF06","ACSF07","ACSF08","ACSF09","ACSF10","ACSF11","ACSF12","ACSF13","ACP01","ACP02","ACP03","ACP04","ACP05","ACP06","ACP07","ACP08","ACP09","ACP10","ACP11","ACP12","ACP13","ACP14","PPC01","PPC02","PPC03","PPC04","PPC05","PPC06","PPC07","PPC08","PPC09","PPC10","PPC11","PPC12","PPC13","PPC14","PPC15","PPC16","PPC17","PPC18","PPC19","EEC01","EEC02","EEC03","EEC04","EEC05","EEC06","EEC07","EEC08","EEC09","AEO","MP","MF","AG","DV","ACP","AUTEN","BALAN","CRESC","EEC"
"1",1,2,4,5,5,5,4,4,4,5,5,5,5,4,4,4,3,3,5,3,1,5,5,5,5,5,5,4,3,3,3,3,5,4,4,5,3,3,3,5,1,5,5,4,5,1,5,1,5,1,1,5,3,5,5,5,5,5,4,5,5,5,5,0.278346582566976,0.460794180721765,0.208635921404646,0.729525458638872,0.0937565881127386,0.604900074750932,0.147058826891414,-0.514168787504525,0.0324850067373666,1.24400377735134
"2",2,1,2,4,4,5,4,3,5,5,5,5,5,5,1,5,5,1,1,5,5,5,4,5,5,5,5,1,5,5,5,5,1,4,1,5,5,5,1,2,2,5,5,5,5,5,5,1,5,2,3,5,5,1,5,5,3,5,2,3,5,5,5,-0.403823798321295,0.804900552804033,0.0832902414722088,0.181513056632324,0.153529082126493,0.240431990067549,0.125148333773708,-0.0932330501828005,0.44454654089902,0.457587746535861
"3",3,1,2,4,4,4,4,5,4,5,3,3,4,5,1,5,2,3,3,3,2,2,5,2,4,4,4,3.46666666666667,2,3,2,3,5,3,4,5,5,2,2,2,5,5,3,2,4,1,2,4,2,3,1,4,5,2,4,3,3,1,4,5,1,1,3,-0.158448221070704,-0.0383455216697818,-0.00504279343644657,-0.45938352780357,-0.229534226985285,-0.498247691974173,-0.458663820986365,-0.532202701944556,-0.957429240199425,-0.906453161316949
"4",4,2,5,5,4,2,5,4,4,5,3,3,4,5,3,5,4,5,4,5,5,4,4.37686567164179,4,4,4,5,5,5,5,3,5,5,4,4,5,5,5,5,4,4,3,5,4,5,2,5,5,4,2,2,5,5,5,4,4,4,5,5,1,4,2,5,0.101021473614745,0.0327832854589034,0.978215635413856,-0.0198408159891602,0.339371301488776,0.0517054669555228,0.313459782379584,0.0767623722949104,0.404968932688353,0.0617365416866297
"5",5,1,4,4,4,5,4,4,1,5,5,5,5,5,1,5,1,5,5,1,1,1,5,1,1,5,5,1,1,5,5,5,5,5,5,5,1,2,5,3,5,3,2,1,4,2,2,1,3,3,1,5,1,4,2,3,3,1,3,1,3,4,4,-0.081144991049488,0.806049023519503,0.0377050444474059,-0.194232397286476,0.330755552390193,-0.0372452085923315,-0.630232788910646,-0.703644678884869,-1.23781745659486,-1.06472619525868
"6",6,1,4,4,4,4,3,4,4,1,1,1,1,3,3,4,4,1,1,1,3,4,4,4,4,4,4,3,2,4,1,1,1,1,1,1,2,5,4,4,4,4,5,4,5,4,4,1,5,5,5,5,1,3,5,5,5,5,5,4,5,5,5,-0.286215536679412,-1.0496566200946,-0.801834655201171,-0.661861151831085,-0.47360010351673,-0.765778810110987,-0.145167464736314,-0.0182985098719421,0.0211210179855961,1.22570487592889
"7",7,1,4,5,3,3,2,3,3,5,4,5,5,5,3,4,2,2,3,1,1,3,5,2,5,5,5,5,5,3,2,3,4,5,4,5,4,2,5,5,5,5,3,3,2,4,3,4,3,2,3,4,3,3,2,2,2,1,4,2,2,3,3,-0.549002201359086,0.550350488268681,-0.59560594227863,0.542271580197306,-0.0468812425531667,0.520885186592265,-0.493214133590689,-0.41921967502579,-0.740980688498734,-1.32385573600885
"8",8,1,5,4,4,5,5,5,5,5,5,5,5,4,5,5,4,4,3,2,1,5,4,5,5,4,4,3,4,3,2,3,4,3,4,5,5,5,2,5,5,3,5,5,5,2,3,4,4,5,3,5,4,3,5,5,5,5,5,4,4,5,5,0.444476873565217,0.720151632492747,-0.231592363801154,-0.405592223676625,-0.299424327348234,-0.469527239502278,0.215344220293236,0.111963419101507,0.293721025856704,1.05263845456614
"9",9,2,5,5,5,4,5,5,5,5,4,5,5,5,3,5,3,3,3,3,3,5,5,5,5,5,4,5,5,4,4,3,5,4,4,5,4,4,4,5,4,4,5,5,5,3,5,5,5,4,4,4,5,5,4,4,3,3,4,3,3,2,3,0.722112714352228,0.699552564337392,0.0650047343063642,0.518016422376002,0.160989768783263,0.473629581505191,0.257695235034898,0.175431748731361,0.523494881317148,-0.567010993008337
"10",10,1,5,4,4,5,4,5,5,5,4,4,5,5,3,5,4,1,3,4,2,5,5,4,4,4,3,4,4,4,3,4,3,4,3,1,5,5,5,3,1,5,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,5,5,4,5,5,5,0.296072302678836,0.493424970170864,-0.0994467655823297,-0.399983259300034,-0.145199665590038,-0.370064877306981,0.429949605669444,0.564685107316826,0.858812827650566,1.22570487592889
"11",11,2,4,5,4,5,5,5,4,5,5,5,5,4,5,4,5,2,2,3,1,5,5,3.41044776119403,4,5,5,3.46666666666667,5,3,3,2,4,3,4,3,2,4,5,4,5,5,5,3,3,5,5,5,4,5,4,4,5,3,5,5,3,4,4,2,5,4,4,0.469751875480702,0.563625642014828,-0.308465219188046,0.122056214078442,-0.189111321567982,-0.00123503178957864,-0.341663979969797,0.473640126279227,-0.160523717218425,0.153251163945471
