"","id","Sexo","AEO01","AEO02","AEO03","AEO04","AEO05","AEO06","ACSF01","ACSF02","ACSF03","ACSF04","ACSF05","ACSF06","ACSF07","ACSF08","ACSF09","ACSF10","ACSF11","ACSF12","ACSF13","ACP01","ACP02","ACP03","ACP04","ACP05","ACP06","ACP07","ACP08","ACP09","ACP10","ACP11","ACP12","ACP13","ACP14","PPC01","PPC02","PPC03","PPC04","PPC05","PPC06","PPC07","PPC08","PPC09","PPC10","PPC11","PPC12","PPC13","PPC14","PPC15","PPC16","PPC17","PPC18","PPC19","EEC01","EEC02","EEC03","EEC04","EEC05","EEC06","EEC07","EEC08","EEC09","AEO","MP","MF","ACSF","AG","DV","ACP","AUTEN","BALAN","CRESC","EEC","ACSF_MP","ACSF_MF","ACP_total","ACP_AG","ACP_DV","PPC_total","PPC_AUTEN","PPC_BALAN","PPC_CRESC","EEC_total"
"1",1,1,2,4,4,4,4,5,4,5,3,3,4,5,1,5,2,3,3,3,2,2,5,2,4,4,4,3,2,3,2,3,5,3,4,5,5,2,2,2,5,5,3,2,4,1,2,4,2,3,1,4,5,2,4,3,3,1,4,5,1,1,3,-0.164643177075754,-0.0165393454497311,-0.0326243062731193,0.0281805339043255,-0.375077542479224,-0.185679001774186,-0.414129227035659,-0.423852974510676,-0.497986550397999,-0.958635722892307,-0.975554327257273,4,2.5,4,4,3.75,3.5,3.85714285714286,3.16666666666667,2,3.5
"2",2,1,4,4,4,5,4,4,1,5,5,5,5,5,1,5,1,5,5,1,1,1,5,1,1,5,5,1,1,5,5,5,5,5,5,5,1,2,5,3,5,3,2,1,4,2,2,1,3,3,1,5,1,4,2,3,3,1,3,1,3,4,4,-0.0803764189847143,0.789615456396581,0.0378131464613123,0.503556795676762,-0.196056812955474,0.301721857979754,-0.0454912428635486,-0.622713595542206,-0.684904488341804,-1.26320244773513,-1.13455092825114,5,3,5,3,5,4.2,3.57142857142857,3,2,3
"3",3,1,4,4,4,4,3,4,4,1,1,1,1,3,3,4,4,1,1,1,3,4,4,4,4,4,4,3,2,4,1,1,1,1,1,1,2,5,4,4,4,4,5,4,5,4,4,1,5,5,5,5,1,3,5,5,5,5,5,4,5,5,5,-0.2929458357891,-1.00109518763714,-0.838470720428147,-0.315151066775347,-0.515223337578088,-0.411775574338207,-0.6282458918542,-0.178655087597927,-0.0381807176155379,-0.00489497224855213,1.22635488560055,2.5,2,2.5,3.5,1.75,3.375,3.42857142857143,3.83333333333333,4.5,5
"4",4,1,5,4,4,5,5,5,5,5,5,5,5,4,5,5,4,4,3,2,1,5,4,5,5,4,4,3,4,3,2,3,4,3,4,5,5,5,2,5,5,3,5,5,5,2,3,4,4,5,3,5,4,3,5,5,5,5,5,4,4,5,5,0.459870320537518,0.731670284987377,-0.20441200127529,0.620756987155896,-0.247450978324677,-0.221969437954754,-0.31547493394001,0.217479390384132,0.13226382280192,0.279433282570203,1.03733723277476,5,2.5,3.5,3.5,3.5,4.25,4.42857142857143,3.83333333333333,4.25,5
"5",5,2,4,5,4,5,5,5,4,5,5,5,5,4,5,4,5,2,2,3,1,5,5,3,4,5,5,3,5,3,3,2,4,3,4,3,2,4,5,4,5,5,5,3,3,5,5,5,4,5,4,4,5,3,5,5,3,4,4,2,5,4,4,0.468387866924443,0.587176146597864,-0.351964013683669,0.601930681683367,0.112008696205514,-0.1486203741022,0.0022369371864907,-0.349363167591252,0.444422726260198,-0.148344850331522,0.0580868258877972,4.5,1.5,4,4,3.25,3.8,3.42857142857143,5,4,4.5
"6",6,2,4,4,4,5,5,4,4,4,5,4,3,3,1,1,5,4,5,5,5,3,5,1,3,4,5,3,3,4,4,4,5,5,5,1,5,5,2,2,5,5,2,1,1,2,1,5,5,3,1,2,5,1,5,5,3,1,5,1,1,5,5,0.0459437724957602,-0.405237003797277,1.10448397863862,-0.751623171277256,-0.287456002748105,0.0367760893278799,-0.199297981978584,-0.906957504662495,-0.604712453488387,-0.853703373922412,-0.310867253983639,3,4.5,5,4,4.5,1.8,2.42857142857143,3.16666666666667,3,5
"7",7,2,4,2,3,4,2,4,5,5,5,5,5,5,3,5,3,4,5,5,5,2,5,3,3,5,5,4,3,4,4,4,5,5,2,5,5,3,3,3,5,5,5,5,5,2,2,5,4,5,1,5,5,5,4,2,4,5,5,1,1,4,5,-0.653960007321141,0.906420287744071,1.07367673492769,0.0316963050476275,0.163563324192975,0.094876917892504,0.275159671683654,0.334920489529356,0.297275767007502,0.121156521292108,-0.283943684164048,5,4.5,5,4.5,3.75,5,4.71428571428571,4.16666666666667,3.4,4.5
"8",8,1,5,4,4,5,4,4,3,1,1,1,5,5,1,5,1,1,1,5,5,5,5,3,5,5,5,3,5,3,4,4,5,5,5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,4,5,5,4,5,4,4,5,5,5,3,1,5,0.0772683956431071,-0.152635483371023,0.101252840036231,-0.140724373314193,0.459162197208532,0.152842603884959,0.487189442422105,0.556194747191459,0.675480019913196,0.487783195840554,0.329068479176115,3,3,5,4,4.25,4.66666666666667,4.85714285714286,4.83333333333333,4.5,5
"9",9,1,4,4,4,4,5,4,4,5,5,5,5,5,2,3,1,1,1,1,1,3,4,4,5,4,2,2,4,2,4,4,5,2,5,5,5,3,2,3,4,5,2,2,4,1,1,4,2,1,1,5,3,3,3,4,4,3,4,1,2,3,5,-0.0812323856314176,0.634401278286718,-1.23288834018175,0.991654367328218,-0.565429116707053,-0.223310704676948,-0.628773321560982,-0.374543549039771,-0.900221614770607,-0.959741011954209,-0.591469817942869,4,1,3,3,4,3.375,4.28571428571429,2.16666666666667,2,4
"10",10,1,5,5,5,5,4,5,5,5,5,5,5,5,1,5,1,1,1,1,1,5,4,4,4,4,4,2,5,3,3,3,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,0.7945846801391,0.8199112277185,-1.23881287399551,1.16382087056705,-0.498500932058906,-0.180263711226198,-0.440569219523406,0.651258568329057,0.892057541912605,1.05887456389306,1.03733723277476,5,1,4.5,3,4,4.66666666666667,4.71428571428571,5,5,5
